"Facility / Centro","First Case / Primer Caso","Cases / Casos","Resolved / Resuelta"
"Summit Professional Services","5/19/2021",2,"Ongoing"
"Smith Roofing, LLC","5/15/2021",3,"6/17/2021"
"Dillon Valley Elementary School","5/12/2021",2,"6/15/2021"
"Vacasa Summit County","4/29/2021",2,"5/31/2021"
"Breckenridge Distillery","4/8/2021",9,"5/25/2021"
"REI (Dillon)","4/10/2021",2,"5/11/2021"
"Spencer's Restaurant (Breckenridge)","3/31/2021",4,"5/5/2021"
"Peak 8 Properties - Grand Colorado","3/25/2021",3,"4/29/2021"
"Infinity Certified Welding & Fabrication","4/1/2021",4,"5/13/2021"
"Adult Social Gathering (Montezuma)","4/8/2021",3,"5/7/2021"
"Summit Middle School","3/18/2021",18,"5/24/2021"
"Teenager Social Gathering (Breckenridge)","3/21/2021",4,"4/19/2021"
"Adult Social Gathering (Breckenridge)","3/22/2021",4,"4/26/2021"
"Double Tree by Hilton Hotel (Breckenridge)","3/27/2021",2,"4/25/2021"
"Breckenridge Mountain Information","3/21/2021",2,"4/22/2017"
"Adult Social Gathering (Silverthorne)","3/24/2021",3,"4/26/2021"
"Youth Lacrosse Team (Silverthorne)","3/26/2021",2,"4/28/2021"
"Keystone Ski Patrol","3/28/2021",2,"4/28/2021"
"Adult Social Gathering (Copper)","3/26/2021",5,"5/7/2021"
"Alpine Dance Academy","3/8/2021",17,"5/4/2021"
"Harker Neumaier Associats, LLC","3/14/2021",2,"4/16/2021"
"Ten Mile Station","3/10/2021",3,"4/19/2021"
"Adult Social Gathering (Frisco)","3/20/2021",3,"4/21/2021"
"The Edge","3/18/2021",19,"5/4/2021"
"Piante Pizzeria (Breckenridge)","3/20/2021",3,"4/19/2021"
"Breck Sports (Beaver Run)","3/21/2021",4,"4/27/2021"
"Mountain Sports Outlet","3/17/2021",3,"4/19/2021"
"Teenager Social Gathering (Breckenridge)","3/21/2021",4,"4/19/2021"
"Adult Social Gathering (Breckenridge)","3/22/2021",4,"4/26/2021"
"Ollie's Pub and Grub (Frisco)","2/20/2021",7,"4/18/2021"
"Christy Sports (Dillon)","3/13/2021",2,"4/14/2021"
"Christy Sports-Lone Star (Breckenridge)","3/12/2021",7,"4/22/2021"
"Summit County Jail","3/21/2021",4,"4/26/2021"
"Breckenridge Terrace Building B","2/23/2021",10,"4/15/2021"
"Breckenridge Terrace Building C","3/14/2021",3,"4/18/2021"
"Arapahoe Cafe & Pub","3/8/2021",3,"4/10/2021"
"Tocko","3/8/2021",3,"4/12/2021"
"Keystone Ski Tip Lodge","3/3/2021",2,"4/6/2021"
"Cala Pub and Restaurant","2/26/2021",3,"4/22/2021"
"Keystone The Outpost Cafeteria","2/20/2021",2,"3/20/2021"
"IBD Design Studio","2/20/2021",2,"3/20/2021"
"Silverthorne Recreation Center","2/18/2021",2,"4/13/2021"
"Breckenridge Ski School Product Sales","1/16/2021",2,"2/28/2021"
"Adult Social Gathering (Dillon)","2/16/2021",4,"3/18/2021"
"Little Red Schoolhouse","2/15/2021",5,"4/6/2021"
"Breckenridge Grooming and Trail Maintenance","2/11/2021",2,"3/18/2021"
"Wine Gathering (Keystone)","2/6/2021",3,"3/11/2021"
"Native Roots (Dillon)","2/6/2021",2,"3/13/2021"
"Chipotle (Silverthorne)","2/3/2021",2,"3/13/2021"
"Walgreens (Dillon)","2/2/2021",2,"3/6/2021"
"City Market (Dillon)","2/1/2021",10,"5/10/2021"
"Black Tie Ski Rentals of Breckenridge","2/1/2021",2,"3/14/2021"
"Breckenridge Mountain Information Center","1/30/2021",2,"2/28/2021"
"Breckenridge Children's Ski School Peak 9","1/29/2021",3,"3/2/2021"
"UPS (Silverthorne)","1/29/2021",7,"3/23/2021"
"Keystone Tenderfoot 7000 Building ","1/28/2021",2,"3/11/2021"
"Breckenridge Terrace Building G","1/27/2021",3,"3/10/2021"
"Keystone Mountain House Cafeteria","1/26/2021",2,"3/2/2021"
"Dillon Community Church","1/26/2021",2,"3/2/2021"
"High Side Brewing","1/26/2021",6,"3/9/2021"
"Keystone Social Gathering","1/25/2021",3,"2/25/2021"
"Keystone Ski Check/Vending (VR)","1/25/2021",2,"2/26/2021"
"Breckenridge Terrace Building K","1/25/2021",5,"3/21/2021"
"Silverthorne Elementary","1/23/2021",2,"2/26/2021"
"Breck Terrace Building","1/23/2021",2,"2/26/2021"
"Keystone Sunrise Housing 3B","1/23/2021",4,"3/1/2021"
"Breck Childrens' Ski School (P8 VR)","1/22/2021",3,"3/11/2021"
"High County Healing (Silverthorne)","1/22/2021",2,"3/3/2021"
"Keystone River Run Adult Ski School (VR)","1/21/2021",2,"2/21/2021"
"Waste Management","1/20/2021",2,"2/28/2021"
"Summit High School","1/20/2021",30,"6/7/2021"
"Keystone Big Horn Bistro","1/19/2021",4,"2/25/2021"
"Peak 8 Properties: Grand Timber Lodge","1/19/2021",4,"3/6/2021"
"Lake Dillon Preschool","1/19/2021",2,"3/9/2021"
"Breckenridge Social Gathering ","1/18/2021",5,"2/18/2021"
"Silverthorne Social Gathering Air BnB","1/18/2021",3,"2/23/2021"
"Breckenridge Maggie Food and Beverage (VR)","1/17/2021",2,"2/21/2021"
"Good Times Adventures","1/17/2021",5,"2/22/2021"
"Upper Blue Elementary","1/16/2021",2,"3/31/2021"
