"Date","Bed Occupancy (%)","Goal (80% or lower)","min","max"
"2021-01-14",47.05882353,80,0,100
"2021-01-13",44.11764706,80,0,100
"2021-01-12",55.88235294,80,0,100
"2021-01-11",32.35294118,80,0,100
"2021-01-10",32.35294118,80,0,100
"2021-01-09",47.05882353,80,0,100
"2021-01-08",41.17647059,80,0,100
"2021-01-07",50,80,0,100
"2021-01-06",41.17647059,80,0,100
"2021-01-05",32.35294118,80,0,100
"2021-01-04",41.17647059,80,0,100
"2021-01-03",38.23529412,80,0,100
"2021-01-02",41.17647059,80,0,100
"2021-01-01",44.11764706,80,0,100
"2020-12-31",47.05882353,80,0,100
"2020-12-30",47.05882353,80,0,100
"2020-12-29",61.76470588,80,0,100
"2020-12-28",58.82352941,80,0,100
"2020-12-27",38.23529412,80,0,100
"2020-12-26",41.17647059,80,0,100
"2020-12-25",38.23529412,80,0,100
"2020-12-24",58.82352941,80,0,100
"2020-12-23",55.88235294,80,0,100
"2020-12-22",38.23529412,80,0,100
"2020-12-21",38.23529412,80,0,100
"2020-12-20",38.23529412,80,0,100
"2020-12-19",44.11764706,80,0,100
"2020-12-18",44.11764706,80,0,100
"2020-12-17",44.11764706,80,0,100
"2020-12-16",20.58823529,80,0,100
"2020-12-15",32.35294118,80,0,100
"2020-12-14",32.35294118,80,0,100
"2020-12-13",35.29411765,80,0,100
"2020-12-12",35.29411765,80,0,100
"2020-12-11",32.35294118,80,0,100
"2020-12-10",32.35294118,80,0,100
"2020-12-09",41.17647059,80,0,100
"2020-12-08",47.05882353,80,0,100
"2020-12-07",23.52941176,80,0,100
"2020-12-06",26.47058824,80,0,100
"2020-12-05",14.70588235,80,0,100
"2020-12-04",26.47058824,80,0,100
"2020-12-03",38.23529412,80,0,100
"2020-12-02",35.29411765,80,0,100
"2020-12-01",20.58823529,80,0,100
"2020-11-30",41.17647059,80,0,100
"2020-11-29",41.17647059,80,0,100
"2020-11-28",50,80,0,100
"2020-11-27",47.05882353,80,0,100
"2020-11-26",44.11764706,80,0,100
"2020-11-25",44.11764706,80,0,100
"2020-11-24",23.52941176,80,0,100
"2020-11-23",26.47058824,80,0,100
"2020-11-22",29.41176471,80,0,100
"2020-11-21",26.47058824,80,0,100
"2020-11-20",26.47058824,80,0,100
