"Fecha","Cupo de camas (%)","Meta (80% o menos)","min","max"
"2021-04-07",52.94117647,80,0,100
"2021-04-06",44.11764706,80,0,100
"2021-04-05",38.23529412,80,0,100
"2021-04-04",38.23529412,80,0,100
"2021-04-03",47.05882353,80,0,100
"2021-04-02",55.88235294,80,0,100
"2021-04-01",38.23529412,80,0,100
"2021-03-31",44.11764706,80,0,100
"2021-03-30",26.47058824,80,0,100
"2021-03-29",38.23529412,80,0,100
"2021-03-28",44.11764706,80,0,100
"2021-03-27",44.11764706,80,0,100
"2021-03-26",52.94117647,80,0,100
"2021-03-25",41.17647059,80,0,100
"2021-03-24",35.29411765,80,0,100
"2021-03-23",32.35294118,80,0,100
"2021-03-22",47.05882353,80,0,100
"2021-03-21",47.05882353,80,0,100
"2021-03-20",44.11764706,80,0,100
"2021-03-19",44.11764706,80,0,100
"2021-03-18",35.29411765,80,0,100
"2021-03-17",50,80,0,100
"2021-03-16",52.94117647,80,0,100
"2021-03-15",58.82352941,80,0,100
"2021-03-14",64.70588235,80,0,100
"2021-03-13",29.41176471,80,0,100
"2021-03-12",38.23529412,80,0,100
"2021-03-11",32.35294118,80,0,100
"2021-03-10",55.88235294,80,0,100
"2021-03-09",38.23529412,80,0,100
"2021-03-08",41.17647059,80,0,100
"2021-03-07",61.76470588,80,0,100
"2021-03-06",52.94117647,80,0,100
"2021-03-05",67.64705882,80,0,100
"2021-03-04",61.76470588,80,0,100
"2021-03-03",76.47058824,80,0,100
"2021-03-02",58.82352941,80,0,100
"2021-03-01",55.88235294,80,0,100
"2021-02-28",55.88235294,80,0,100
"2021-02-27",52.94117647,80,0,100
"2021-02-26",32.35294118,80,0,100
"2021-02-25",47.05882353,80,0,100
"2021-02-24",41.17647059,80,0,100
"2021-02-23",41.17647059,80,0,100
"2021-02-22",52.94117647,80,0,100
"2021-02-21",52.94117647,80,0,100
"2021-02-20",38.23529412,80,0,100
"2021-02-19",50,80,0,100
"2021-02-18",38.23529412,80,0,100
"2021-02-17",52.94117647,80,0,100
"2021-02-16",55.88235294,80,0,100
"2021-02-15",47.05882353,80,0,100
"2021-02-14",55.88235294,80,0,100
"2021-02-13",47.05882353,80,0,100
"2021-02-12",52.94117647,80,0,100
"2021-02-11",38.23529412,80,0,100
