"Date","Rolling 7-Day Positive Cases Per 100,000","min","Level Green: Little to No Threat","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk"
"2021-06-28",32.2851423774779,0,100,250,500,800
"2021-06-27",35.5136566152257,0,100,250,500,800
"2021-06-26",29.0566281397301,0,100,250,500,800
"2021-06-25",22.5995996642345,0,100,250,500,800
"2021-06-24",22.5995996642345,0,100,250,500,800
"2021-06-23",22.5995996642345,0,100,250,500,800
"2021-06-22",22.5995996642345,0,100,250,500,800
"2021-06-21",16.1425711887389,0,100,250,500,800
"2021-06-20",19.3710854264867,0,100,250,500,800
"2021-06-19",19.3710854264867,0,100,250,500,800
"2021-06-18",19.3710854264867,0,100,250,500,800
"2021-06-17",16.1425711887389,0,100,250,500,800
"2021-06-16",12.9140569509912,0,100,250,500,800
"2021-06-15",12.9140569509912,0,100,250,500,800
"2021-06-14",12.9140569509912,0,100,250,500,800
"2021-06-13",9.68554271324337,0,100,250,500,800
"2021-06-12",9.68554271324337,0,100,250,500,800
"2021-06-11",12.9140569509912,0,100,250,500,800
"2021-06-10",12.9140569509912,0,100,250,500,800
"2021-06-09",12.9140569509912,0,100,250,500,800
"2021-06-08",12.9140569509912,0,100,250,500,800
"2021-06-07",9.68554271324337,0,100,250,500,800
"2021-06-06",6.45702847549558,0,100,250,500,800
"2021-06-05",6.45702847549558,0,100,250,500,800
"2021-06-04",6.45702847549558,0,100,250,500,800
"2021-06-03",16.1425711887389,0,100,250,500,800
"2021-06-02",16.1425711887389,0,100,250,500,800
"2021-06-01",19.3710854264867,0,100,250,500,800
"2021-05-31",41.9706850907213,0,100,250,500,800
"2021-05-30",41.9706850907213,0,100,250,500,800
"2021-05-29",54.8847420417124,0,100,250,500,800
"2021-05-28",58.1132562794602,0,100,250,500,800
"2021-05-27",48.4277135662168,0,100,250,500,800
"2021-05-26",48.4277135662168,0,100,250,500,800
"2021-05-25",48.4277135662168,0,100,250,500,800
"2021-05-24",38.7421708529735,0,100,250,500,800
"2021-05-23",45.199199328469,0,100,250,500,800
"2021-05-22",51.6562278039646,0,100,250,500,800
"2021-05-21",45.199199328469,0,100,250,500,800
"2021-05-20",54.8847420417124,0,100,250,500,800
"2021-05-19",64.5702847549558,0,100,250,500,800
"2021-05-18",64.5702847549558,0,100,250,500,800
"2021-05-17",64.5702847549558,0,100,250,500,800
"2021-05-16",67.7987989927036,0,100,250,500,800
"2021-05-15",48.4277135662168,0,100,250,500,800
"2021-05-14",51.6562278039646,0,100,250,500,800
"2021-05-13",45.199199328469,0,100,250,500,800
"2021-05-12",32.2851423774779,0,100,250,500,800
"2021-05-11",41.9706850907213,0,100,250,500,800
"2021-05-10",35.5136566152257,0,100,250,500,800
"2021-05-09",45.199199328469,0,100,250,500,800
"2021-05-08",51.6562278039646,0,100,250,500,800
"2021-05-07",58.1132562794602,0,100,250,500,800
"2021-05-06",58.1132562794602,0,100,250,500,800
"2021-05-05",71.0273132304514,0,100,250,500,800
"2021-05-04",58.1132562794602,0,100,250,500,800
