"Fecha","positivos nuevos por 100,000 personas en los 14 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
"2021-01-12",703.816103829018,0,75,175,350,1372.11855104281
"2021-01-11",694.130561115775,0,75,175,350,1372.11855104281
"2021-01-10",652.159876025053,0,75,175,350,1372.11855104281
"2021-01-09",639.245819074062,0,75,175,350,1372.11855104281
"2021-01-08",610.189190934332,0,75,175,350,1372.11855104281
"2021-01-07",526.24782075289,0,75,175,350,1372.11855104281
"2021-01-06",539.161877703881,0,75,175,350,1372.11855104281
"2021-01-05",516.562278039646,0,75,175,350,1372.11855104281
"2021-01-04",597.275133983341,0,75,175,350,1372.11855104281
"2021-01-03",639.245819074062,0,75,175,350,1372.11855104281
"2021-01-02",655.388390262801,0,75,175,350,1372.11855104281
"2021-01-01",658.616904500549,0,75,175,350,1372.11855104281
"2020-12-31",668.302447213792,0,75,175,350,1372.11855104281
"2020-12-30",716.730160780009,0,75,175,350,1372.11855104281
"2020-12-29",690.902046878027,0,75,175,350,1372.11855104281
"2020-12-28",723.187189255505,0,75,175,350,1372.11855104281
"2020-12-27",755.472331632983,0,75,175,350,1372.11855104281
"2020-12-26",761.929360108478,0,75,175,350,1372.11855104281
"2020-12-25",794.214502485956,0,75,175,350,1372.11855104281
"2020-12-24",845.870730289921,0,75,175,350,1372.11855104281
"2020-12-23",794.214502485956,0,75,175,350,1372.11855104281
"2020-12-22",839.413701814425,0,75,175,350,1372.11855104281
"2020-12-21",758.70084587073,0,75,175,350,1372.11855104281
"2020-12-20",784.528959772713,0,75,175,350,1372.11855104281
"2020-12-19",765.157874346226,0,75,175,350,1372.11855104281
"2020-12-18",826.499644863434,0,75,175,350,1372.11855104281
"2020-12-17",862.01330147866,0,75,175,350,1372.11855104281
"2020-12-16",862.01330147866,0,75,175,350,1372.11855104281
"2020-12-15",955.640214373345,0,75,175,350,1372.11855104281
"2020-12-14",968.554271324337,0,75,175,350,1372.11855104281
"2020-12-13",1049.26712726803,0,75,175,350,1372.11855104281
"2020-12-12",1094.4663265965,0,75,175,350,1372.11855104281
"2020-12-11",1126.75146897398,0,75,175,350,1372.11855104281
"2020-12-10",1107.38038354749,0,75,175,350,1372.11855104281
"2020-12-09",1159.03661135146,0,75,175,350,1372.11855104281
"2020-12-08",1217.14986763092,0,75,175,350,1372.11855104281
"2020-12-07",1268.80609543488,0,75,175,350,1372.11855104281
"2020-12-06",1272.03460967263,0,75,175,350,1372.11855104281
"2020-12-05",1262.34906695939,0,75,175,350,1372.11855104281
"2020-12-04",1323.69083747659,0,75,175,350,1372.11855104281
"2020-12-03",1372.11855104281,0,75,175,350,1372.11855104281
"2020-12-02",1346.29043714083,0,75,175,350,1372.11855104281
"2020-12-01",1365.66152256731,0,75,175,350,1372.11855104281
"2020-11-30",1336.60489442758,0,75,175,350,1372.11855104281
"2020-11-29",1275.26312391038,0,75,175,350,1372.11855104281
"2020-11-28",1262.34906695939,0,75,175,350,1372.11855104281
"2020-11-27",1210.69283915542,0,75,175,350,1372.11855104281
"2020-11-26",1242.9779815329,0,75,175,350,1372.11855104281
"2020-11-25",1262.34906695939,0,75,175,350,1372.11855104281
"2020-11-24",1239.74946729515,0,75,175,350,1372.11855104281
"2020-11-23",1201.00729644218,0,75,175,350,1372.11855104281
"2020-11-22",1191.32175372893,0,75,175,350,1372.11855104281
"2020-11-21",1204.23581067993,0,75,175,350,1372.11855104281
"2020-11-20",1152.57958287596,0,75,175,350,1372.11855104281
"2020-11-19",1094.4663265965,0,75,175,350,1372.11855104281
"2020-11-18",1142.89404016272,0,75,175,350,1372.11855104281
