"Date","Rolling 7-Day Positive Cases Per 100,000","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
"2020-03-11",0,0,100,300,500,800
"2020-03-12",0,0,100,300,500,800
"2020-03-13",3.22851423774779,0,100,300,500,800
"2020-03-14",3.22851423774779,0,100,300,500,800
"2020-03-15",3.22851423774779,0,100,300,500,800
"2020-03-16",9.68554271324337,0,100,300,500,800
"2020-03-17",9.68554271324337,0,100,300,500,800
"2020-03-18",12.9140569509912,0,100,300,500,800
"2020-03-19",16.1425711887389,0,100,300,500,800
"2020-03-20",12.9140569509912,0,100,300,500,800
"2020-03-21",12.9140569509912,0,100,300,500,800
"2020-03-22",16.1425711887389,0,100,300,500,800
"2020-03-23",12.9140569509912,0,100,300,500,800
"2020-03-24",16.1425711887389,0,100,300,500,800
"2020-03-25",12.9140569509912,0,100,300,500,800
"2020-03-26",16.1425711887389,0,100,300,500,800
"2020-03-27",19.3710854264867,0,100,300,500,800
"2020-03-28",19.3710854264867,0,100,300,500,800
"2020-03-29",19.3710854264867,0,100,300,500,800
"2020-03-30",29.0566281397301,0,100,300,500,800
"2020-03-31",35.5136566152257,0,100,300,500,800
"2020-04-01",45.199199328469,0,100,300,500,800
"2020-04-02",67.7987989927036,0,100,300,500,800
"2020-04-03",90.3983986569381,0,100,300,500,800
"2020-04-04",96.8554271324337,0,100,300,500,800
"2020-04-05",103.312455607929,0,100,300,500,800
"2020-04-06",116.22651255892,0,100,300,500,800
"2020-04-07",112.997998321173,0,100,300,500,800
"2020-04-08",119.455026796668,0,100,300,500,800
"2020-04-09",93.6269128946859,0,100,300,500,800
"2020-04-10",87.1698844191903,0,100,300,500,800
"2020-04-11",83.9413701814425,0,100,300,500,800
"2020-04-12",77.4843417059469,0,100,300,500,800
"2020-04-13",61.341770517208,0,100,300,500,800
"2020-04-14",54.8847420417124,0,100,300,500,800
"2020-04-15",41.9706850907213,0,100,300,500,800
"2020-04-16",54.8847420417124,0,100,300,500,800
"2020-04-17",51.6562278039646,0,100,300,500,800
"2020-04-18",51.6562278039646,0,100,300,500,800
"2020-04-19",54.8847420417124,0,100,300,500,800
"2020-04-20",45.199199328469,0,100,300,500,800
"2020-04-21",45.199199328469,0,100,300,500,800
"2020-04-22",45.199199328469,0,100,300,500,800
"2020-04-23",54.8847420417124,0,100,300,500,800
"2020-04-24",38.7421708529735,0,100,300,500,800
"2020-04-25",48.4277135662168,0,100,300,500,800
"2020-04-26",45.199199328469,0,100,300,500,800
"2020-04-27",93.6269128946859,0,100,300,500,800
"2020-04-28",103.312455607929,0,100,300,500,800
"2020-04-29",122.683541034416,0,100,300,500,800
"2020-04-30",109.769484083425,0,100,300,500,800
"2020-05-01",125.912055272164,0,100,300,500,800
"2020-05-02",138.826112223155,0,100,300,500,800
"2020-05-03",135.597597985407,0,100,300,500,800
"2020-05-04",103.312455607929,0,100,300,500,800
"2020-05-05",106.540969845677,0,100,300,500,800
"2020-05-06",83.9413701814425,0,100,300,500,800
"2020-05-07",74.2558274681991,0,100,300,500,800
"2020-05-08",77.4843417059469,0,100,300,500,800
"2020-05-09",61.341770517208,0,100,300,500,800
"2020-05-10",74.2558274681991,0,100,300,500,800
"2020-05-11",64.5702847549558,0,100,300,500,800
"2020-05-12",61.341770517208,0,100,300,500,800
"2020-05-13",64.5702847549558,0,100,300,500,800
"2020-05-14",77.4843417059469,0,100,300,500,800
"2020-05-15",71.0273132304514,0,100,300,500,800
"2020-05-16",61.341770517208,0,100,300,500,800
"2020-05-17",58.1132562794602,0,100,300,500,800
"2020-05-18",71.0273132304514,0,100,300,500,800
"2020-05-19",67.7987989927036,0,100,300,500,800
"2020-05-20",67.7987989927036,0,100,300,500,800
"2020-05-21",58.1132562794602,0,100,300,500,800
"2020-05-22",54.8847420417124,0,100,300,500,800
"2020-05-23",64.5702847549558,0,100,300,500,800
"2020-05-24",61.341770517208,0,100,300,500,800
"2020-05-25",61.341770517208,0,100,300,500,800
"2020-05-26",64.5702847549558,0,100,300,500,800
"2020-05-27",71.0273132304514,0,100,300,500,800
"2020-05-28",71.0273132304514,0,100,300,500,800
"2020-05-29",80.7128559436947,0,100,300,500,800
"2020-05-30",80.7128559436947,0,100,300,500,800
"2020-05-31",87.1698844191903,0,100,300,500,800
"2020-06-01",71.0273132304514,0,100,300,500,800
"2020-06-02",74.2558274681991,0,100,300,500,800
"2020-06-03",77.4843417059469,0,100,300,500,800
"2020-06-04",71.0273132304514,0,100,300,500,800
"2020-06-05",58.1132562794602,0,100,300,500,800
"2020-06-06",61.341770517208,0,100,300,500,800
"2020-06-07",48.4277135662168,0,100,300,500,800
"2020-06-08",54.8847420417124,0,100,300,500,800
"2020-06-09",48.4277135662168,0,100,300,500,800
"2020-06-10",38.7421708529735,0,100,300,500,800
"2020-06-11",41.9706850907213,0,100,300,500,800
"2020-06-12",41.9706850907213,0,100,300,500,800
"2020-06-13",29.0566281397301,0,100,300,500,800
"2020-06-14",32.2851423774779,0,100,300,500,800
"2020-06-15",29.0566281397301,0,100,300,500,800
"2020-06-16",32.2851423774779,0,100,300,500,800
"2020-06-17",29.0566281397301,0,100,300,500,800
"2020-06-18",25.8281139019823,0,100,300,500,800
"2020-06-19",22.5995996642345,0,100,300,500,800
"2020-06-20",22.5995996642345,0,100,300,500,800
"2020-06-21",19.3710854264867,0,100,300,500,800
"2020-06-22",16.1425711887389,0,100,300,500,800
