"Date","Rolling 14-Day Percent of Tests Positive","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
2021-01-13,7.98079807980798,0,5,10,15,36.2068965517241
2021-01-12,8.01526717557252,0,5,10,15,36.2068965517241
2021-01-11,7.81702374059062,0,5,10,15,36.2068965517241
2021-01-10,7.8939439590238,0,5,10,15,36.2068965517241
2021-01-09,7.96093518792542,0,5,10,15,36.2068965517241
2021-01-08,7.95418390073178,0,5,10,15,36.2068965517241
2021-01-07,7.53682768071257,0,5,10,15,36.2068965517241
2021-01-06,7.03703703703704,0,5,10,15,36.2068965517241
2021-01-05,6.61742074484457,0,5,10,15,36.2068965517241
2021-01-04,6.36002271436684,0,5,10,15,36.2068965517241
2021-01-03,6.27863109673942,0,5,10,15,36.2068965517241
2021-01-02,6.04890604890605,0,5,10,15,36.2068965517241
2021-01-01,5.9874213836478,0,5,10,15,36.2068965517241
2020-12-31,5.8278468666179,0,5,10,15,36.2068965517241
2020-12-30,5.77838205302515,0,5,10,15,36.2068965517241
2020-12-29,5.68367109247612,0,5,10,15,36.2068965517241
2020-12-28,5.91087508658508,0,5,10,15,36.2068965517241
2020-12-27,5.92120245957641,0,5,10,15,36.2068965517241
2020-12-26,5.79254602604401,0,5,10,15,36.2068965517241
2020-12-25,5.85711220768076,0,5,10,15,36.2068965517241
2020-12-24,6.12760581174984,0,5,10,15,36.2068965517241
2020-12-23,6.39439906651108,0,5,10,15,36.2068965517241
2020-12-22,6.74157303370786,0,5,10,15,36.2068965517241
2020-12-21,6.61961547821855,0,5,10,15,36.2068965517241
2020-12-20,6.90726577437859,0,5,10,15,36.2068965517241
2020-12-19,7.13587487781036,0,5,10,15,36.2068965517241
2020-12-18,7.54944524843222,0,5,10,15,36.2068965517241
2020-12-17,8.26001955034213,0,5,10,15,36.2068965517241
2020-12-16,8.98279352226721,0,5,10,15,36.2068965517241
2020-12-15,9.48130277442702,0,5,10,15,36.2068965517241
2020-12-14,9.84405458089669,0,5,10,15,36.2068965517241
2020-12-13,10.184331797235,0,5,10,15,36.2068965517241
2020-12-12,10.14619245036,0,5,10,15,36.2068965517241
2020-12-11,10.4415011037528,0,5,10,15,36.2068965517241
2020-12-10,10.2530541012216,0,5,10,15,36.2068965517241
2020-12-09,9.94397759103641,0,5,10,15,36.2068965517241
2020-12-08,9.83140746353476,0,5,10,15,36.2068965517241
2020-12-07,9.76511928980951,0,5,10,15,36.2068965517241
2020-12-06,9.85221674876847,0,5,10,15,36.2068965517241
2020-12-05,9.32876217971851,0,5,10,15,36.2068965517241
2020-12-04,9.24313462826524,0,5,10,15,36.2068965517241
2020-12-03,8.83977900552486,0,5,10,15,36.2068965517241
2020-12-02,8.17889416449686,0,5,10,15,36.2068965517241
2020-12-01,8.05249030718759,0,5,10,15,36.2068965517241
2020-11-30,7.75193798449612,0,5,10,15,36.2068965517241
2020-11-29,7.55581842377643,0,5,10,15,36.2068965517241
2020-11-28,7.44873341375151,0,5,10,15,36.2068965517241
2020-11-27,7.4685653688835,0,5,10,15,36.2068965517241
2020-11-26,7.83930183569064,0,5,10,15,36.2068965517241
2020-11-25,8.13522692188947,0,5,10,15,36.2068965517241
2020-11-24,8.23982045527413,0,5,10,15,36.2068965517241
2020-11-23,8.42937108989134,0,5,10,15,36.2068965517241
2020-11-22,8.66456011974056,0,5,10,15,36.2068965517241
2020-11-21,9.37663698271346,0,5,10,15,36.2068965517241
2020-11-20,9.94912379875636,0,5,10,15,36.2068965517241
2020-11-19,11.0903814262023,0,5,10,15,36.2068965517241
