"Fecha","Porcentaje de pruebas positivas durante los 7 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
2021-04-29,4.79846449136276,0,5,7.5,10,20
2021-04-28,4.33996383363472,0,5,7.5,10,20
2021-04-27,5.08196721311475,0,5,7.5,10,20
2021-04-26,4.86787204450626,0,5,7.5,10,20
2021-04-25,5.7001239157373,0,5,7.5,10,20
2021-04-24,5.88235294117647,0,5,7.5,10,20
2021-04-23,5.54216867469879,0,5,7.5,10,20
2021-04-22,5.62060889929742,0,5,7.5,10,20
2021-04-21,5.69948186528497,0,5,7.5,10,20
2021-04-20,5.20169851380042,0,5,7.5,10,20
2021-04-19,5.625,0,5,7.5,10,20
2021-04-18,5.819592628516,0,5,7.5,10,20
2021-04-17,5.63770794824399,0,5,7.5,10,20
2021-04-16,5.91658583899127,0,5,7.5,10,20
2021-04-15,6.4176245210728,0,5,7.5,10,20
2021-04-14,7.23888314374354,0,5,7.5,10,20
2021-04-13,8.44793713163065,0,5,7.5,10,20
2021-04-12,8.42696629213483,0,5,7.5,10,20
2021-04-11,8.39532412327311,0,5,7.5,10,20
2021-04-10,8.27300930713547,0,5,7.5,10,20
2021-04-09,8.62068965517241,0,5,7.5,10,20
2021-04-08,8.94874022589053,0,5,7.5,10,20
2021-04-07,8.96825396825397,0,5,7.5,10,20
2021-04-06,8.31477357089829,0,5,7.5,10,20
2021-04-05,9.11127707244212,0,5,7.5,10,20
2021-04-04,8.95848506919155,0,5,7.5,10,20
2021-04-03,9.86887508626639,0,5,7.5,10,20
2021-04-02,9.77443609022556,0,5,7.5,10,20
2021-04-01,9.69131371141421,0,5,7.5,10,20
2021-03-31,10.2908277404922,0,5,7.5,10,20
2021-03-30,10.6772908366534,0,5,7.5,10,20
2021-03-29,10.16,0,5,7.5,10,20
2021-03-28,10.1670297748729,0,5,7.5,10,20
2021-03-27,9.72338642078793,0,5,7.5,10,20
2021-03-26,9.8116169544741,0,5,7.5,10,20
2021-03-25,9.16666666666667,0,5,7.5,10,20
2021-03-24,8.43989769820972,0,5,7.5,10,20
2021-03-23,8.046875,0,5,7.5,10,20
2021-03-22,7.59493670886076,0,5,7.5,10,20
2021-03-21,7.65724703737466,0,5,7.5,10,20
2021-03-20,7.46812386156649,0,5,7.5,10,20
2021-03-19,6.82210708117444,0,5,7.5,10,20
2021-03-18,6.59432387312187,0,5,7.5,10,20
2021-03-17,6.50263620386643,0,5,7.5,10,20
2021-03-16,6.0515873015873,0,5,7.5,10,20
2021-03-15,5.85585585585586,0,5,7.5,10,20
2021-03-14,5.02325581395349,0,5,7.5,10,20
2021-03-13,5.11316010058676,0,5,7.5,10,20
2021-03-12,4.72573839662447,0,5,7.5,10,20
2021-03-11,3.93835616438356,0,5,7.5,10,20
2021-03-10,4.04380791912384,0,5,7.5,10,20
2021-03-09,3.96270396270396,0,5,7.5,10,20
2021-03-08,3.49854227405248,0,5,7.5,10,20
2021-03-07,3.95042602633617,0,5,7.5,10,20
2021-03-06,3.88127853881279,0,5,7.5,10,20
2021-03-05,3.73191165270373,0,5,7.5,10,20
