"Date","Rolling 14-Day Percent of Tests Positive","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
2020-12-09,9.94397759103641,0,5,10,15,36.2068965517241
2020-12-08,9.83140746353476,0,5,10,15,36.2068965517241
2020-12-07,9.76511928980951,0,5,10,15,36.2068965517241
2020-12-06,9.85221674876847,0,5,10,15,36.2068965517241
2020-12-05,9.32876217971851,0,5,10,15,36.2068965517241
2020-12-04,9.24313462826524,0,5,10,15,36.2068965517241
2020-12-03,8.83977900552486,0,5,10,15,36.2068965517241
2020-12-02,8.17889416449686,0,5,10,15,36.2068965517241
2020-12-01,8.05249030718759,0,5,10,15,36.2068965517241
2020-11-30,7.75193798449612,0,5,10,15,36.2068965517241
2020-11-29,7.55581842377643,0,5,10,15,36.2068965517241
2020-11-28,7.44873341375151,0,5,10,15,36.2068965517241
2020-11-27,7.4685653688835,0,5,10,15,36.2068965517241
2020-11-26,7.83930183569064,0,5,10,15,36.2068965517241
2020-11-25,8.13522692188947,0,5,10,15,36.2068965517241
2020-11-24,8.23982045527413,0,5,10,15,36.2068965517241
2020-11-23,8.42937108989134,0,5,10,15,36.2068965517241
2020-11-22,8.66456011974056,0,5,10,15,36.2068965517241
2020-11-21,9.37663698271346,0,5,10,15,36.2068965517241
2020-11-20,9.94912379875636,0,5,10,15,36.2068965517241
2020-11-19,11.0903814262023,0,5,10,15,36.2068965517241
2020-11-18,12.272627657243,0,5,10,15,36.2068965517241
2020-11-17,12.9772780510658,0,5,10,15,36.2068965517241
2020-11-16,13.9275074478649,0,5,10,15,36.2068965517241
2020-11-15,14.5398298530549,0,5,10,15,36.2068965517241
2020-11-14,15.7966657556709,0,5,10,15,36.2068965517241
2020-11-13,15.9475696340797,0,5,10,15,36.2068965517241
2020-11-12,15.8748893478902,0,5,10,15,36.2068965517241
2020-11-11,16.3111668757842,0,5,10,15,36.2068965517241
2020-11-10,16.974674880219,0,5,10,15,36.2068965517241
2020-11-09,17.2066234701224,0,5,10,15,36.2068965517241
2020-11-08,17.3379363252781,0,5,10,15,36.2068965517241
2020-11-07,17.4037674037674,0,5,10,15,36.2068965517241
2020-11-06,17.0936395759717,0,5,10,15,36.2068965517241
2020-11-05,16.3784822286263,0,5,10,15,36.2068965517241
2020-11-04,16.04614577871,0,5,10,15,36.2068965517241
2020-11-03,15.1446398184912,0,5,10,15,36.2068965517241
2020-11-02,13.8273045507585,0,5,10,15,36.2068965517241
2020-11-01,13.4375,0,5,10,15,36.2068965517241
2020-10-31,11.7223313686968,0,5,10,15,36.2068965517241
2020-10-30,11.6214335421016,0,5,10,15,36.2068965517241
2020-10-29,11.4590747330961,0,5,10,15,36.2068965517241
2020-10-28,10.6072252113759,0,5,10,15,36.2068965517241
2020-10-27,10.795902285264,0,5,10,15,36.2068965517241
2020-10-26,10.3744149765991,0,5,10,15,36.2068965517241
2020-10-25,9.79757085020243,0,5,10,15,36.2068965517241
2020-10-24,9.15721231766613,0,5,10,15,36.2068965517241
2020-10-23,7.88022064617809,0,5,10,15,36.2068965517241
2020-10-22,7.26837060702875,0,5,10,15,36.2068965517241
2020-10-21,6.96400625978091,0,5,10,15,36.2068965517241
2020-10-20,6.6045066045066,0,5,10,15,36.2068965517241
2020-10-19,6.99300699300699,0,5,10,15,36.2068965517241
2020-10-18,6.41627543035994,0,5,10,15,36.2068965517241
2020-10-17,6.58536585365854,0,5,10,15,36.2068965517241
2020-10-16,5.85365853658537,0,5,10,15,36.2068965517241
2020-10-15,6.0655737704918,0,5,10,15,36.2068965517241
2020-10-14,5.88723051409619,0,5,10,15,36.2068965517241
2020-10-13,5.4726368159204,0,5,10,15,36.2068965517241
2020-10-12,5.34979423868313,0,5,10,15,36.2068965517241
2020-10-11,5.29411764705882,0,5,10,15,36.2068965517241
2020-10-10,5.09939498703544,0,5,10,15,36.2068965517241
2020-10-09,5.58558558558559,0,5,10,15,36.2068965517241
2020-10-08,5.75342465753425,0,5,10,15,36.2068965517241
2020-10-07,5.31716417910448,0,5,10,15,36.2068965517241
2020-10-06,5.68070519098923,0,5,10,15,36.2068965517241
2020-10-05,5.1009564293305,0,5,10,15,36.2068965517241
2020-10-04,5.07900677200903,0,5,10,15,36.2068965517241
2020-10-03,5.01792114695341,0,5,10,15,36.2068965517241
2020-10-02,4.60526315789474,0,5,10,15,36.2068965517241
2020-10-01,4.31654676258993,0,5,10,15,36.2068965517241
2020-09-30,4.29252782193959,0,5,10,15,36.2068965517241
2020-09-29,4.12926391382406,0,5,10,15,36.2068965517241
2020-09-28,4.50643776824034,0,5,10,15,36.2068965517241
2020-09-27,4.83870967741935,0,5,10,15,36.2068965517241
2020-09-26,5.44554455445545,0,5,10,15,36.2068965517241
2020-09-25,4.94186046511628,0,5,10,15,36.2068965517241
2020-09-24,4.49826989619377,0,5,10,15,36.2068965517241
2020-09-23,5.41871921182266,0,5,10,15,36.2068965517241
2020-09-22,3.7593984962406,0,5,10,15,36.2068965517241
2020-09-21,3.30578512396694,0,5,10,15,36.2068965517241
2020-09-20,3.30578512396694,0,5,10,15,36.2068965517241
2020-09-19,3.00751879699248,0,5,10,15,36.2068965517241
2020-09-18,2.22222222222222,0,5,10,15,36.2068965517241
2020-09-17,2.7972027972028,0,5,10,15,36.2068965517241
2020-09-16,2.06896551724138,0,5,10,15,36.2068965517241
2020-09-15,2.66666666666667,0,5,10,15,36.2068965517241
2020-09-14,2.54777070063694,0,5,10,15,36.2068965517241
2020-09-13,2.48447204968944,0,5,10,15,36.2068965517241
2020-09-12,1.32450331125828,0,5,10,15,36.2068965517241
2020-09-11,1.33333333333333,0,5,10,15,36.2068965517241
2020-09-10,1.91082802547771,0,5,10,15,36.2068965517241
2020-09-09,2.42424242424242,0,5,10,15,36.2068965517241
2020-09-08,2.39520958083832,0,5,10,15,36.2068965517241
2020-09-07,2.33918128654971,0,5,10,15,36.2068965517241
2020-09-06,2.23463687150838,0,5,10,15,36.2068965517241
2020-09-05,2.36686390532544,0,5,10,15,36.2068965517241
2020-09-04,2.4390243902439,0,5,10,15,36.2068965517241
2020-09-03,1.82926829268293,0,5,10,15,36.2068965517241
2020-09-02,1.76470588235294,0,5,10,15,36.2068965517241
2020-09-01,1.19760479041916,0,5,10,15,36.2068965517241
2020-08-31,1.20481927710843,0,5,10,15,36.2068965517241
2020-08-30,1.22699386503067,0,5,10,15,36.2068965517241
2020-08-29,1.24223602484472,0,5,10,15,36.2068965517241
2020-08-28,1.25,0,5,10,15,36.2068965517241
2020-08-27,0.657894736842105,0,5,10,15,36.2068965517241
2020-08-26,0,0,5,10,15,36.2068965517241
2020-08-25,0,0,5,10,15,36.2068965517241
2020-08-24,0,0,5,10,15,36.2068965517241
2020-08-23,0,0,5,10,15,36.2068965517241
2020-08-22,0.704225352112676,0,5,10,15,36.2068965517241
2020-08-21,0.719424460431655,0,5,10,15,36.2068965517241
2020-08-20,0.735294117647059,0,5,10,15,36.2068965517241
2020-08-19,0.813008130081301,0,5,10,15,36.2068965517241
2020-08-18,0.813008130081301,0,5,10,15,36.2068965517241
2020-08-17,1.51515151515152,0,5,10,15,36.2068965517241
2020-08-16,2.36220472440945,0,5,10,15,36.2068965517241
2020-08-15,2.12765957446809,0,5,10,15,36.2068965517241
2020-08-14,2.40963855421687,0,5,10,15,36.2068965517241
2020-08-13,2.10526315789474,0,5,10,15,36.2068965517241
2020-08-12,1.86046511627907,0,5,10,15,36.2068965517241
2020-08-11,1.97628458498024,0,5,10,15,36.2068965517241
2020-08-10,2.56410256410256,0,5,10,15,36.2068965517241
2020-08-09,2.74914089347079,0,5,10,15,36.2068965517241
2020-08-08,2.5974025974026,0,5,10,15,36.2068965517241
2020-08-07,2.54957507082153,0,5,10,15,36.2068965517241
2020-08-06,2.75,0,5,10,15,36.2068965517241
2020-08-05,2.62008733624454,0,5,10,15,36.2068965517241
2020-08-04,2.71966527196653,0,5,10,15,36.2068965517241
2020-08-03,2.69749518304432,0,5,10,15,36.2068965517241
2020-08-02,2.48565965583174,0,5,10,15,36.2068965517241
2020-08-01,2.4904214559387,0,5,10,15,36.2068965517241
2020-07-31,2.34833659491194,0,5,10,15,36.2068965517241
2020-07-30,2.6,0,5,10,15,36.2068965517241
