"Date","Percentage of Tests Confirmed Positive","7-day Moving Average Percentage of Confirmed Positive Tests"
2021-05-08,2.24719101123596,3.35408759854413
2021-05-07,1.40845070422535,3.72430455085605
2021-05-06,1.35135135135135,3.72151000580798
2021-05-05,1.42857142857143,4.25732278651872
2021-05-04,4.3956043956044,4.26646077007035
2021-05-03,5.5045871559633,3.63851728498401
2021-05-02,7.14285714285714,3.37639408708099
2021-05-01,4.83870967741935,3.22178678961655
2021-04-30,1.38888888888889,3.79104675166589
2021-04-29,5.10204081632653,4.29291416529801
2021-04-28,1.49253731343284,4.01399494856745
2021-04-27,0,4.73754348224566
2021-04-26,3.6697247706422,5.19468633938852
2021-04-25,6.06060606060606,5.75818468614957
2021-04-24,8.82352941176471,6.28611204334522
2021-04-23,4.90196078431373,5.76452409782218
2021-04-22,3.1496062992126,5.85789477942815
2021-04-21,6.55737704918033,6.06821512804004
2021-04-20,3.2,5.42004726675743
2021-04-19,7.61421319796954,5.86200530871547
2021-04-18,9.75609756097561,5.89366355122302
2021-04-17,5.17241379310345,5.27633284375445
2021-04-16,5.55555555555556,5.85609790627813
2021-04-15,4.6218487394958,6.39852111057184
2021-04-14,2.02020202020202,6.98049302977431
2021-04-13,6.29370629370629,8.40617845545973
2021-04-12,7.83582089552239,8.46932774140694
2021-04-11,5.43478260869565,8.3630959822695
2021-04-10,9.23076923076923,8.31309071855753
2021-04-09,9.35251798561151,8.49440939987621
