"vaccination_date","dose_sum","Dose"
"01/01/2021","24","1"
"01/02/2021","135","1"
"01/03/2021","66","1"
"01/04/2021","11","1"
"01/05/2021","8","1"
"01/06/2021","61","1"
"01/07/2021","373","1"
"01/08/2021","187","1"
"01/09/2021","67","1"
"01/10/2021","58","1"
"01/11/2021","59","1"
"01/12/2021","35","1"
"01/13/2021","112","1"
"01/14/2021","346","1"
"01/15/2021","110","1"
"01/16/2021","35","1"
"01/17/2021","32","1"
"01/18/2021","20","1"
"01/19/2021","14","1"
"01/20/2021","25","1"
"01/21/2021","14","1"
"01/22/2021","40","1"
"01/23/2021","55","1"
"01/24/2021","38","1"
"01/25/2021","31","1"
"01/26/2021","6","1"
"01/27/2021","49","1"
"01/28/2021","23","1"
"01/29/2021","151","1"
"01/30/2021","25","1"
"01/31/2021","4","1"
"02/01/2021","16","1"
"02/02/2021","5","1"
"02/03/2021","22","1"
"02/04/2021","7","1"
"02/05/2021","34","1"
"02/06/2021","7","1"
"02/07/2021","1","1"
"02/08/2021","10","1"
"02/09/2021","20","1"
"02/10/2021","62","1"
"02/11/2021","44","1"
"02/12/2021","56","1"
"02/13/2021","333","1"
"02/14/2021","29","1"
"02/15/2021","50","1"
"02/16/2021","55","1"
"02/17/2021","55","1"
"02/18/2021","48","1"
"02/19/2021","169","1"
"02/20/2021","45","1"
"02/21/2021","42","1"
"02/22/2021","7","1"
"02/23/2021","4","1"
"02/24/2021","19","1"
"02/25/2021","185","1"
"02/26/2021","38","1"
"12/14/2020","1","1"
"12/15/2020","1","1"
"12/16/2020","23","1"
"12/17/2020","105","1"
"12/18/2020","118","1"
"12/19/2020","4","1"
"12/20/2020","2","1"
"12/21/2020","9","1"
"12/22/2020","5","1"
"12/23/2020","138","1"
"12/24/2020","27","1"
"12/26/2020","258","1"
"12/27/2020","221","1"
"12/28/2020","34","1"
"12/29/2020","12","1"
"12/30/2020","55","1"
"12/31/2020","384","1"
"01/01/2021","dose_sum","2"
"01/02/2021","dose_sum","2"
"01/03/2021","dose_sum","2"
"01/04/2021","dose_sum","2"
"01/05/2021","dose_sum","2"
"01/06/2021","dose_sum","2"
"01/07/2021","dose_sum","2"
"01/08/2021","dose_sum","2"
"01/09/2021","dose_sum","2"
"01/10/2021","dose_sum","2"
"01/11/2021","dose_sum","2"
"01/12/2021","dose_sum","2"
"01/13/2021","dose_sum","2"
"01/14/2021","dose_sum","2"
"01/15/2021","dose_sum","2"
"01/16/2021","dose_sum","2"
"01/17/2021","dose_sum","2"
"01/18/2021","dose_sum","2"
"01/19/2021","dose_sum","2"
"01/20/2021","dose_sum","2"
"01/21/2021","dose_sum","2"
"01/22/2021","dose_sum","2"
"01/23/2021","dose_sum","2"
"01/24/2021","dose_sum","2"
"01/25/2021","dose_sum","2"
"01/26/2021","dose_sum","2"
"01/27/2021","dose_sum","2"
"01/28/2021","dose_sum","2"
"01/29/2021","dose_sum","2"
"01/30/2021","dose_sum","2"
"01/31/2021","dose_sum","2"
"02/01/2021","dose_sum","2"
"02/02/2021","dose_sum","2"
"02/03/2021","dose_sum","2"
"02/04/2021","dose_sum","2"
"02/05/2021","dose_sum","2"
"02/06/2021","dose_sum","2"
"02/07/2021","dose_sum","2"
"02/08/2021","dose_sum","2"
"02/09/2021","dose_sum","2"
"02/10/2021","dose_sum","2"
"02/11/2021","dose_sum","2"
"02/12/2021","dose_sum","2"
"02/13/2021","dose_sum","2"
"02/14/2021","dose_sum","2"
"02/15/2021","dose_sum","2"
"02/16/2021","dose_sum","2"
"02/17/2021","dose_sum","2"
"02/18/2021","dose_sum","2"
"02/19/2021","dose_sum","2"
"02/20/2021","dose_sum","2"
"02/21/2021","dose_sum","2"
"02/22/2021","dose_sum","2"
"02/23/2021","dose_sum","2"
"02/24/2021","dose_sum","2"
"02/25/2021","dose_sum","2"
"02/26/2021","dose_sum","2"
"12/14/2020","dose_sum","2"
"12/15/2020","dose_sum","2"
"12/16/2020","dose_sum","2"
"12/17/2020","dose_sum","2"
"12/18/2020","dose_sum","2"
"12/19/2020","dose_sum","2"
"12/20/2020","dose_sum","2"
"12/21/2020","dose_sum","2"
"12/22/2020","dose_sum","2"
"12/23/2020","dose_sum","2"
"12/24/2020","dose_sum","2"
"12/26/2020","dose_sum","2"
"12/27/2020","dose_sum","2"
"12/28/2020","dose_sum","2"
"12/29/2020","dose_sum","2"
"12/30/2020","dose_sum","2"
"12/31/2020","dose_sum","2"
