"Vaccination Date","Dose 1","Dose 2"
"01/01/2021",24,0
"01/02/2021",135,0
"01/03/2021",66,0
"01/04/2021",11,1
"01/05/2021",8,1
"01/06/2021",61,24
"01/07/2021",373,98
"01/08/2021",187,128
"01/09/2021",67,6
"01/10/2021",58,2
"01/11/2021",59,6
"01/12/2021",36,5
"01/13/2021",112,2
"01/14/2021",345,2
"01/15/2021",110,2
"01/16/2021",35,2
"01/17/2021",32,0
"01/18/2021",20,2
"01/19/2021",14,6
"01/20/2021",25,119
"01/21/2021",14,39
"01/22/2021",40,42
"01/23/2021",55,205
"01/24/2021",38,232
"01/25/2021",31,36
"01/26/2021",6,8
"01/27/2021",49,53
"01/28/2021",23,348
"01/29/2021",152,52
"01/30/2021",27,122
"01/31/2021",4,74
"02/01/2021",16,3
"02/02/2021",5,4
"02/03/2021",22,355
"02/04/2021",7,61
"02/05/2021",34,481
"02/06/2021",7,161
"02/07/2021",1,58
"02/08/2021",10,70
"02/09/2021",20,46
"02/10/2021",62,43
"02/11/2021",44,27
"02/12/2021",153,36
"02/13/2021",333,64
"02/14/2021",29,17
"02/15/2021",50,7
"02/16/2021",55,12
"02/17/2021",55,30
"02/18/2021",51,11
"02/19/2021",171,28
"02/20/2021",45,36
"02/21/2021",42,25
"02/22/2021",7,13
"02/23/2021",4,8
"02/24/2021",21,51
"02/25/2021",304,31
"02/26/2021",73,120
"02/27/2021",98,14
"02/28/2021",20,8
"03/01/2021",10,1
"12/14/2020",1,0
"12/15/2020",1,0
"12/16/2020",23,0
"12/17/2020",105,0
"12/18/2020",118,0
"12/19/2020",4,0
"12/20/2020",2,0
"12/21/2020",9,0
"12/22/2020",5,0
"12/23/2020",138,0
"12/24/2020",27,0
"12/26/2020",258,2
"12/27/2020",221,0
"12/28/2020",34,0
"12/29/2020",12,0
"12/30/2020",55,0
"12/31/2020",384,0
