"Date","Fully Vaccinated (%)","Level Green: Little to No Threat (70%)","Level Blue: Caution (60%)","Level Yellow: Concern","min","max"
"2020-12-21",0.00356391888520617,70,60,50,0,100
"2020-12-26",0.0106917566556185,70,60,50,0,100
"2020-12-29",0.0142556755408247,70,60,50,0,100
"2020-12-31",0.0178195944260309,70,60,50,0,100
"2021-01-04",0.021383513311237,70,60,50,0,100
"2021-01-05",0.0249474321964432,70,60,50,0,100
"2021-01-06",0.106917566556185,70,60,50,0,100
"2021-01-07",0.45618161730639,70,60,50,0,100
"2021-01-08",0.908799315727574,70,60,50,0,100
"2021-01-09",0.926618910153605,70,60,50,0,100
"2021-01-10",0.937310666809223,70,60,50,0,100
"2021-01-11",0.95869418012046,70,60,50,0,100
"2021-01-12",0.976513774546491,70,60,50,0,100
"2021-01-13",0.983641612316904,70,60,50,0,100
"2021-01-14",0.994333368972522,70,60,50,0,100
"2021-01-15",1.00146120674293,70,60,50,0,100
"2021-01-16",1.00858904451335,70,60,50,0,100
"2021-01-18",1.01571688228376,70,60,50,0,100
"2021-01-19",1.037100395595,70,60,50,0,100
"2021-01-20",1.45407890516412,70,60,50,0,100
"2021-01-21",1.59307174168716,70,60,50,0,100
"2021-01-22",1.73919241598061,70,60,50,0,100
"2021-01-23",2.4840514629887,70,60,50,0,100
"2021-01-24",3.31088064435653,70,60,50,0,100
"2021-01-25",3.44274564310916,70,60,50,0,100
"2021-01-26",3.47482091307602,70,60,50,0,100
"2021-01-27",3.68152820841798,70,60,50,0,100
"2021-01-28",5.00017819594426,70,60,50,0,100
"2021-01-29",5.24252468013828,70,60,50,0,100
"2021-01-30",5.7165258918707,70,60,50,0,100
"2021-01-31",5.98381980826116,70,60,50,0,100
"2021-02-01",5.99807548380199,70,60,50,0,100
"2021-02-02",6.01945899711323,70,60,50,0,100
"2021-02-03",7.32028939021348,70,60,50,0,100
"2021-02-04",7.55194411775188,70,60,50,0,100
"2021-02-05",9.28400869596208,70,60,50,0,100
"2021-02-06",9.86492747425069,70,60,50,0,100
"2021-02-07",10.0751986884779,70,60,50,0,100
"2021-02-08",10.3353647670979,70,60,50,0,100
"2021-02-09",10.509996792473,70,60,50,0,100
"2021-02-10",10.6775009800777,70,60,50,0,100
"2021-02-11",10.7701628710931,70,60,50,0,100
"2021-02-12",10.9055917887309,70,60,50,0,100
"2021-02-13",11.1372465162693,70,60,50,0,100
"2021-02-14",11.201397056203,70,60,50,0,100
"2021-02-15",11.2334723261699,70,60,50,0,100
"2021-02-16",11.2833671905627,70,60,50,0,100
"2021-02-17",11.3974125948893,70,60,50,0,100
"2021-02-18",11.4473074592822,70,60,50,0,100
"2021-02-19",11.547097188068,70,60,50,0,100
"2021-02-20",11.6753982679354,70,60,50,0,100
"2021-02-21",11.7644962400656,70,60,50,0,100
"2021-02-22",11.8179550233437,70,60,50,0,100
"2021-02-23",11.8464663744253,70,60,50,0,100
"2021-02-24",12.0389179942265,70,60,50,0,100
"2021-02-25",12.0888128586193,70,60,50,0,100
"2021-02-26",12.5699419081222,70,60,50,0,100
"2021-02-27",12.6554759613671,70,60,50,0,100
"2021-02-28",12.6982429879896,70,60,50,0,100
"2021-03-01",12.7552656901529,70,60,50,0,100
"2021-03-02",12.8336719056274,70,60,50,0,100
"2021-03-03",12.9085142022168,70,60,50,0,100
"2021-03-04",12.9869204176913,70,60,50,0,100
"2021-03-05",16.1231690366727,70,60,50,0,100
"2021-03-06",16.4118464663744,70,60,50,0,100
"2021-03-07",16.4973805196194,70,60,50,0,100
"2021-03-08",16.5615310595531,70,60,50,0,100
"2021-03-09",16.6577568694537,70,60,50,0,100
"2021-03-10",16.7361630849282,70,60,50,0,100
"2021-03-11",16.9001033536477,70,60,50,0,100
"2021-03-12",17.3491571331836,70,60,50,0,100
"2021-03-13",18.375565772123,70,60,50,0,100
"2021-03-14",18.4468441498272,70,60,50,0,100
"2021-03-15",18.6072204996614,70,60,50,0,100
"2021-03-16",18.7854164439217,70,60,50,0,100
"2021-03-17",19.0170711714601,70,60,50,0,100
"2021-03-18",20.2394953490859,70,60,50,0,100
"2021-03-19",20.9665348016679,70,60,50,0,100
"2021-03-20",22.7057272176485,70,60,50,0,100
"2021-03-21",22.8625396485976,70,60,50,0,100
"2021-03-22",22.8839231619088,70,60,50,0,100
"2021-03-23",24.4271000392031,70,60,50,0,100
"2021-03-24",24.5411454435297,70,60,50,0,100
"2021-03-25",24.6052959834634,70,60,50,0,100
"2021-03-26",25.5925015146655,70,60,50,0,100
"2021-03-27",25.8312840799743,70,60,50,0,100
"2021-03-28",25.9168181332193,70,60,50,0,100
"2021-03-29",25.9524573220713,70,60,50,0,100
"2021-03-30",26.1591646174133,70,60,50,0,100
"2021-03-31",26.8006700167504,70,60,50,0,100
"2021-04-01",30.6675220071991,70,60,50,0,100
"2021-04-02",31.8436152393172,70,60,50,0,100
"2021-04-03",32.3211803699348,70,60,50,0,100
"2021-04-04",32.3710752343277,70,60,50,0,100
"2021-04-05",32.5029402330803,70,60,50,0,100
"2021-04-06",32.7417227983891,70,60,50,0,100
"2021-04-07",33.5471684664457,70,60,50,0,100
"2021-04-08",33.8714850849995,70,60,50,0,100
"2021-04-09",35.3113083146228,70,60,50,0,100
"2021-04-10",35.5999857443245,70,60,50,0,100
"2021-04-11",35.78174560747,70,60,50,0,100
"2021-04-12",36.2913860080545,70,60,50,0,100
"2021-04-13",36.4588901956591,70,60,50,0,100
"2021-04-14",38.1909547738694,70,60,50,0,100
"2021-04-15",38.3976620692113,70,60,50,0,100
"2021-04-16",41.9330696033358,70,60,50,0,100
"2021-04-17",42.1469047364482,70,60,50,0,100
"2021-04-18",42.2930254107416,70,60,50,0,100
"2021-04-19",42.4391460850351,70,60,50,0,100
"2021-04-20",42.6315977048362,70,60,50,0,100
"2021-04-21",45.4542214619195,70,60,50,0,100
"2021-04-22",48.0131152214976,70,60,50,0,100
"2021-04-23",51.8942228874871,70,60,50,0,100
"2021-04-24",52.168644641648,70,60,50,0,100
"2021-04-25",52.3682240992195,70,60,50,0,100
"2021-04-26",52.6569015289212,70,60,50,0,100
"2021-04-27",53.6120317901565,70,60,50,0,100
"2021-04-28",54.5172671869988,70,60,50,0,100
"2021-04-29",58.1809758009908,70,60,50,0,100
"2021-04-30",58.5623151217078,70,60,50,0,100
"2021-05-01",58.8117894436723,70,60,50,0,100
"2021-05-02",58.8795039024912,70,60,50,0,100
"2021-05-03",59.0470080900959,70,60,50,0,100
"2021-05-04",59.3000463309455,70,60,50,0,100
"2021-05-05",61.210306853416,70,60,50,0,100
"2021-05-06",61.3885027976763,70,60,50,0,100
"2021-05-07",61.641541038526,70,60,50,0,100
"2021-05-08",61.919526711572,70,60,50,0,100
"2021-05-09",61.9943690081614,70,60,50,0,100
"2021-05-10",62.1048504936028,70,60,50,0,100
"2021-05-11",62.2794825189779,70,60,50,0,100
"2021-05-12",62.3792722477636,70,60,50,0,100
"2021-05-13",63.2916354823764,70,60,50,0,100
"2021-05-14",63.5232902099148,70,60,50,0,100
"2021-05-15",64.1683595281371,70,60,50,0,100
"2021-05-16",65.1591289782245,70,60,50,0,100
"2021-05-17",65.6153105955308,70,60,50,0,100
"2021-05-18",66.1498984283118,70,60,50,0,100
"2021-05-19",66.8983213942051,70,60,50,0,100
"2021-05-20",67.3794504437079,70,60,50,0,100
"2021-05-21",67.5006236858049,70,60,50,0,100
"2021-05-22",67.7429701699989,70,60,50,0,100
"2021-05-23",67.7857371966214,70,60,50,0,100
"2021-05-24",67.8605794932107,70,60,50,0,100
"2021-05-25",68.2561744894686,70,60,50,0,100
"2021-05-26",68.5163405680887,70,60,50,0,100
"2021-05-27",68.7408674578567,70,60,50,0,100
"2021-05-28",69.143590291885,70,60,50,0,100
"2021-05-29",69.2540717773263,70,60,50,0,100
"2021-05-30",69.3075305606044,70,60,50,0,100
"2021-05-31",69.3467336683417,70,60,50,0,100
"2021-06-01",69.5783883958801,70,60,50,0,100
"2021-06-02",69.7173812324032,70,60,50,0,100
