"Fecha","Totalmente Vacunado (%)","Nivel Verde: Sin Reisgo (70%)","Nivel Azul: Precacion (60%)","Nivel Amarillo: Preocupaction","min","max"
"2020-12-26",0.00745239780899504,70,60,50,0,100
"2020-12-29",0.0111785967134926,70,60,50,0,100
"2021-01-04",0.0149047956179901,70,60,50,0,100
"2021-01-05",0.0186309945224876,70,60,50,0,100
"2021-01-06",0.104333569325931,70,60,50,0,100
"2021-01-07",0.469501061966688,70,60,50,0,100
"2021-01-08",0.946454521742371,70,60,50,0,100
"2021-01-09",0.965085516264858,70,60,50,0,100
"2021-01-10",0.976264112978351,70,60,50,0,100
"2021-01-11",0.998621306405336,70,60,50,0,100
"2021-01-12",1.01725230092782,70,60,50,0,100
"2021-01-13",1.02470469873682,70,60,50,0,100
"2021-01-14",1.03215709654581,70,60,50,0,100
"2021-01-15",1.03960949435481,70,60,50,0,100
"2021-01-16",1.0470618921638,70,60,50,0,100
"2021-01-18",1.0545142899728,70,60,50,0,100
"2021-01-19",1.07687148339978,70,60,50,0,100
"2021-01-20",1.51656295413049,70,60,50,0,100
"2021-01-21",1.66188471140589,70,60,50,0,100
"2021-01-22",1.81465886649029,70,60,50,0,100
"2021-01-23",2.58598203972128,70,60,50,0,100
"2021-01-24",3.4541863844692,70,60,50,0,100
"2021-01-25",3.58460334612662,70,60,50,0,100
"2021-01-26",3.61813913626709,70,60,50,0,100
"2021-01-27",3.83053247382345,70,60,50,0,100
"2021-01-28",5.20922606848754,70,60,50,0,100
"2021-01-29",5.46260759399337,70,60,50,0,100
"2021-01-30",5.95446584938704,70,60,50,0,100
"2021-01-31",6.23393076722435,70,60,50,0,100
"2021-02-01",6.23765696612885,70,60,50,0,100
"2021-02-02",6.26001415955584,70,60,50,0,100
"2021-02-03",7.60889816298394,70,60,50,0,100
"2021-02-04",7.84364869396728,70,60,50,0,100
"2021-02-05",9.64712896374408,70,60,50,0,100
"2021-02-06",10.2544993851772,70,60,50,0,100
"2021-02-07",10.4743451205425,70,60,50,0,100
"2021-02-08",10.7389052427619,70,60,50,0,100
"2021-02-09",10.9140365912732,70,60,50,0,100
"2021-02-10",11.0817155419756,70,60,50,0,100
"2021-02-11",11.1785967134926,70,60,50,0,100
"2021-02-12",11.3201922718635,70,60,50,0,100
"2021-02-13",11.5623952006558,70,60,50,0,100
"2021-02-14",11.6257405820323,70,60,50,0,100
"2021-02-15",11.6555501732682,70,60,50,0,100
"2021-02-16",11.7077169579312,70,60,50,0,100
"2021-02-17",11.8157767261616,70,60,50,0,100
"2021-02-18",11.8604911130156,70,60,50,0,100
"2021-02-19",11.9648246823415,70,60,50,0,100
"2021-02-20",12.095241643999,70,60,50,0,100
"2021-02-21",12.1883966166114,70,60,50,0,100
"2021-02-22",12.2442896001789,70,60,50,0,100
"2021-02-23",12.2778253903193,70,60,50,0,100
"2021-02-24",12.4715877333532,70,60,50,0,100
"2021-02-25",12.5088497223982,70,60,50,0,100
"2021-02-26",13.0118865745053,70,60,50,0,100
"2021-02-27",13.0901367514998,70,60,50,0,100
"2021-02-28",13.1273987405448,70,60,50,0,100
"2021-03-01",13.1907441219212,70,60,50,0,100
"2021-03-02",13.2652681000112,70,60,50,0,100
"2021-03-03",13.3360658791966,70,60,50,0,100
"2021-03-04",13.4180422550956,70,60,50,0,100
"2021-03-05",16.3580131907441,70,60,50,0,100
"2021-03-06",16.6561091031039,70,60,50,0,100
"2021-03-07",16.7418116779074,70,60,50,0,100
"2021-03-08",16.8051570592838,70,60,50,0,100
"2021-03-09",16.8871334351828,70,60,50,0,100
"2021-03-10",16.9616574132727,70,60,50,0,100
"2021-03-11",17.1330625628796,70,60,50,0,100
"2021-03-12",17.5913850281328,70,60,50,0,100
"2021-03-13",18.6570779148191,70,60,50,0,100
"2021-03-14",18.7241494951,70,60,50,0,100
"2021-03-15",18.8843760479934,70,60,50,0,100
"2021-03-16",19.0595073965048,70,60,50,0,100
"2021-03-17",19.2532697395387,70,60,50,0,100
"2021-03-18",20.5313559637813,70,60,50,0,100
"2021-03-19",21.2654171479674,70,60,50,0,100
"2021-03-20",23.0763498155532,70,60,50,0,100
"2021-03-21",23.2365763684465,70,60,50,0,100
"2021-03-22",23.255207362969,70,60,50,0,100
"2021-03-23",24.8462942951895,70,60,50,0,100
"2021-03-24",24.9655326601334,70,60,50,0,100
"2021-03-25",25.0251518426054,70,60,50,0,100
"2021-03-26",26.0461303424377,70,60,50,0,100
"2021-03-27",26.28833327123,70,60,50,0,100
"2021-03-28",26.3665834482245,70,60,50,0,100
"2021-03-29",26.3963930394604,70,60,50,0,100
"2021-03-30",26.6013339792078,70,60,50,0,100
"2021-03-31",27.2534187874949,70,60,50,0,100
"2021-04-01",31.2590826098297,70,60,50,0,100
"2021-04-02",32.4551924581734,70,60,50,0,100
"2021-04-03",32.9395983157581,70,60,50,0,100
"2021-04-04",32.9768603048031,70,60,50,0,100
"2021-04-05",33.111003465365,70,60,50,0,100
"2021-04-06",33.3457539963483,70,60,50,0,100
"2021-04-07",34.1729701531468,70,60,50,0,100
"2021-04-08",34.5008756567426,70,60,50,0,100
"2021-04-09",35.9950814174461,70,60,50,0,100
"2021-04-10",36.2857249319969,70,60,50,0,100
"2021-04-11",36.4645824794127,70,60,50,0,100
"2021-04-12",36.9899765249469,70,60,50,0,100
"2021-04-13",37.1427506800313,70,60,50,0,100
"2021-04-14",38.9201475574766,70,60,50,0,100
"2021-04-15",39.125088497224,70,60,50,0,100
"2021-04-16",42.817751611581,70,60,50,0,100
"2021-04-17",43.0003353579014,70,60,50,0,100
"2021-04-18",43.1046689272273,70,60,50,0,100
"2021-04-19",43.2425382866937,70,60,50,0,100
"2021-04-20",43.4213958341096,70,60,50,0,100
"2021-04-21",43.574169989194,70,60,50,0,100
