"Fecha","hispano/latinx","otros","blanco"
"12/17/2020",0,0,0
"12/18/2020",0,0,0
"12/23/2020",0,0,0
"12/26/2020",0,0,0
"12/27/2020",0,0,0
"12/30/2020",0,0,0.00421
"12/31/2020",0,0,0.00842
"01/06/2021",0.0566,0,0.0842
"01/07/2021",0.198,0.257,0.404
"01/08/2021",0.283,0.257,0.863
"01/13/2021",0.311,0.257,0.939
"01/14/2021",0.311,0.257,0.947
"01/15/2021",0.34,0.257,0.952
"01/17/2021",0.34,0.257,0.96
"01/20/2021",0.396,0.386,1.41
"01/21/2021",0.424,0.515,1.54
"01/22/2021",0.453,0.644,1.69
"01/23/2021",1.13,0.772,2.42
"01/24/2021",1.56,1.54,3.26
"01/25/2021",1.58,1.54,3.39
"01/28/2021",2.26,2.19,4.97
"01/29/2021",2.46,2.19,5.2
"02/03/2021",2.74,2.96,7.39
"02/04/2021",2.77,3.09,7.62
"02/05/2021",3.03,3.86,9.52
"02/06/2021",3.31,3.86,10.1
"02/07/2021",3.37,3.86,10.4
"02/10/2021",3.4,4.25,11
"02/11/2021",3.4,4.38,11.1
"02/12/2021",3.51,4.5,11.2
"02/13/2021",3.51,5.02,11.5
"02/15/2021",3.51,5.15,11.6
"02/19/2021",3.57,5.28,11.9
"02/21/2021",3.62,5.66,12.1
"02/22/2021",3.62,5.79,12.1
"02/25/2021",3.82,5.79,12.4
"02/26/2021",4.1,6.18,12.9
"02/27/2021",4.1,6.18,13
"02/28/2021",4.13,6.18,13
"03/02/2021",4.13,6.31,13.2
"03/03/2021",4.16,6.44,13.2
"03/04/2021",4.16,6.44,13.3
"03/05/2021",4.98,8.49,16.3
"03/06/2021",5.01,8.75,16.6
"03/08/2021",5.01,8.75,16.7
"03/09/2021",5.01,9.01,16.8
"03/10/2021",5.01,9.01,16.9
"03/11/2021",5.09,9.14,17.1
"03/12/2021",5.4,9.27,17.5
"03/13/2021",5.77,9.27,18.6
"03/14/2021",5.77,9.27,18.7
"03/15/2021",5.86,9.4,18.9
"03/16/2021",5.86,9.52,19.1
"03/17/2021",5.86,9.52,19.3
"03/18/2021",6,10,20.7
"03/19/2021",6.37,10.2,21.4
"03/20/2021",6.9,10.7,23.3
"03/21/2021",6.9,10.7,23.5
"03/22/2021",6.9,10.7,23.5
"03/23/2021",7.56,14.8,24.8
"03/24/2021",7.58,14.8,24.9
"03/25/2021",7.58,14.8,25
"03/26/2021",7.84,15.4,26
"03/27/2021",7.95,15.7,26.2
"03/28/2021",7.95,15.8,26.3
"03/30/2021",8.04,16.1,26.5
"03/31/2021",8.18,17.1,27.1
"04/01/2021",8.72,20.2,31.3
"04/02/2021",9.96,22.8,32.4
"04/03/2021",11.4,23.6,32.7
"04/05/2021",11.5,23.7,32.9
"04/06/2021",11.6,23.9,33.1
"04/07/2021",12.5,24.7,33.6
"04/08/2021",12.6,25,33.9
"04/09/2021",13.5,27,35.3
"04/10/2021",13.6,27.3,35.5
"04/11/2021",13.7,27.5,35.7
"04/12/2021",13.8,28.1,36.2
"04/13/2021",13.8,28.4,36.4
"04/14/2021",14.9,30.1,38.1
"04/15/2021",15,30.4,38.3
"04/16/2021",15.9,34.5,42
"04/17/2021",16,34.5,42.2
"04/18/2021",16,34.7,42.3
"04/20/2021",16,35.4,42.6
"04/21/2021",16.7,38.6,45.5
"04/22/2021",17,43.5,48.2
"04/23/2021",18.3,48.8,52.1
"04/24/2021",18.3,49,52.3
"04/25/2021",18.5,49.4,52.5
"04/26/2021",18.6,50.2,52.8
"04/27/2021",19.8,51,53.4
"04/28/2021",20.2,51.9,54.2
"04/29/2021",21.9,58.6,57.8
"04/30/2021",22.1,58.9,58.2
"05/01/2021",22.1,59.6,58.4
"05/02/2021",22.2,59.6,58.5
"05/03/2021",22.2,59.8,58.6
"05/04/2021",22.3,60.1,58.8
"05/05/2021",23.7,62.3,60.6
"05/06/2021",23.7,62.7,60.7
"05/07/2021",23.8,63.1,60.9
"05/08/2021",23.9,63.2,61.2
"05/09/2021",23.9,63.3,61.3
